1,0.0063,1,2
2,0.0042,2,3
3,0.003,3,4
4,0.0021,4,5
5,0.0022,1,7
6,0.0025,2,10
7,0.0025,3,14
8,0.0028,4,19
9,0.003,5,25
10,0.018,1,34
11,0.0042,2,47
12,0.0211,3,65
13,0.0059,4,89
14,0.0218,5,120
15,0.009,2,162
16,0.0259,3,220
17,0.0146,4,300
18,0.035,5,409
19,0.025,6,555
20,0.037,2,752
21,0.0445,3,1020
22,0.0626,4,1386
23,0.0841,5,1885
24,0.1121,6,2561
25,0.1511,1,3477
26,0.2044,2,4720
27,0.2755,3,6410
28,0.3741,4,8709
29,0.5072,5,11831
30,0.7998,2,16068
31,1.1579,3,21819
32,1.6041,4,29630
33,2.0312,5,40244
34,2.5315,6,54662
35,3.4893,2,74242
36,5.9157,3,100829
37,6.1254,4,136935
38,8.2876,5,185978
39,11.6185,6,252592
40,15.5711,3,343065
-1, 75.3961,0 , 0
